product,variable,url,data_type,model_var_name,category,model,depth_min,depth_max
ROMS,sst,,ROMS,sst,raw,ROMS_lbst,,
ROMS,ild_05,,ROMS,ild,raw,ROMS_lbst,,
ROMS,ssh,,ROMS,ssh,raw,ROMS_lbst,,
ROMS,bbv_200,,ROMS,bv,raw,ROMS_lbst,,
ROMS,curl,,ROMS,curl,raw,ROMS_lbst,,
ROMS,sv,,ROMS,sv,raw,ROMS_lbst,,
ROMS,su,,ROMS,su,raw,ROMS_lbst,,
ROMS,sustr,,ROMS,sustr,raw,ROMS_lbst,,
ROMS,svstr,,ROMS,svstr,raw,ROMS_lbst,,
Other,z_sd,,Other,z_sd,derived,ROMS_lbst,,
Other,z,,Other,z,raw,ROMS_lbst,,
ROMS,ssh_sd,,ROMS,ssh_sd,derived,ROMS_lbst,,
ROMS,sst_sd,,ROMS,sst_sd,derived,ROMS_lbst,,
Other,lunar,,Other,lunar,derived,ROMS_lbst,,
ROMS,EKE,,ROMS,EKE,derived,ROMS_lbst,,
METOFFICE-GLO-SST-L4-NRT-OBS-SST-V2,analysed_sst,https://data.marine.copernicus.eu/product/SST_GLO_SST_L4_NRT_OBSERVATIONS_010_001/description,CMEMS,sst,raw,TopPred_lbst,,
cmems_mod_glo_bgc-bio_anfc_0.25deg_P1D-m,nppv,https://data.marine.copernicus.eu/product/GLOBAL_ANALYSISFORECAST_BGC_001_028/description,CMEMS,PPupper200m,raw,TopPred_lbst,0,200
cmems_obs-sl_glo_phy-ssh_nrt_allsat-l4-duacs-0.125deg_P1D,sla,https://data.marine.copernicus.eu/product/SEALEVEL_GLO_PHY_L4_NRT_008_046/description,CMEMS,sla,raw,TopPred_lbst,,
cmems_obs-sl_glo_phy-ssh_nrt_allsat-l4-duacs-0.125deg_P1D,ugosa,https://data.marine.copernicus.eu/product/SEALEVEL_GLO_PHY_L4_NRT_008_046/description,CMEMS,,,TopPred_lbst,,
cmems_obs-sl_glo_phy-ssh_nrt_allsat-l4-duacs-0.125deg_P1D,vgosa,https://data.marine.copernicus.eu/product/SEALEVEL_GLO_PHY_L4_NRT_008_046/description,CMEMS,,,TopPred_lbst,,
cmems_obs-oc_glo_bgc-plankton_nrt_l4-gapfree-multi-4km_P1D,CHL,https://data.marine.copernicus.eu/product/OCEANCOLOUR_GLO_BGC_L4_NRT_009_102/description,CMEMS,l.chl,raw,TopPred_lbst,,
cmems_mod_glo_phy_anfc_0.083deg_P1D-m,mlotst,https://data.marine.copernicus.eu/product/GLOBAL_ANALYSISFORECAST_PHY_001_024/description,CMEMS,mld,raw,TopPred_lbst,,
cmems_mod_glo_bgc-bio_anfc_0.25deg_P1D-m,o2,https://data.marine.copernicus.eu/product/GLOBAL_ANALYSISFORECAST_BGC_001_028/description,CMEMS,oxy200m,raw,TopPred_lbst,0,200
Other,day,,Other,day,raw,TopPred_lbst,,
Other,bathy,,Other,bathy,raw,TopPred_lbst,,
Other,sst_sd,,CMEMS,sst_sd,derived,TopPred_lbst,,
Other,eke,,CMEMS,eke,derived,TopPred_lbst,,
Other,bathy_sd,,Other,bathy_sd,derived,TopPred_lbst,,
Other,random,,Other,random,raw,TopPred_lbst,,
cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,thetao,,CMEMS,thetao,raw,Gulf_Model,0.5,0.5
cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,thetao,,CMEMS,thetao_150m,raw,Gulf_Model,150,150
cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,thetao,,CMEMS,thetao_500m,raw,Gulf_Model,500,500
cmems_mod_glo_phy_anfc_0.083deg_P1D-m,tob,,CMEMS,bottom_t,raw,Gulf_Model,,
cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,so,,CMEMS,so,raw,Gulf_Model,0.5,0.5
cmems_mod_glo_phy-cur_anfc_0.083deg_P1D-m,uo,,CMEMS,uo,raw,Gulf_Model,0.5,0.5
cmems_mod_glo_phy-cur_anfc_0.083deg_P1D-m,vo,,CMEMS,vo,raw,Gulf_Model,0.5,0.5
cmems_mod_glo_phy_anfc_0.083deg_P1D-m,zos,,CMEMS,ssh,raw,Gulf_Model,,
cmems_obs-oc_glo_bgc-plankton_nrt_l4-gapfree-multi-4km_P1D,CHL,https://data.marine.copernicus.eu/product/OCEANCOLOUR_GLO_BGC_L4_NRT_009_102/description,CMEMS,l.chl,raw,Gulf_Model,0.5,0.5
cmems_mod_glo_phy_anfc_0.083deg_P1D-m,mlotst,,CMEMS,mld,raw,Gulf_Model,,


